series,model,n,first_origin,mase_denominator,mase
s0,seasonal_naive,3000,2760,1.8363424637345682,0.9589056402106146
s0,daily_naive,3000,2760,1.8363424637345682,1.4493579484191674
s1,seasonal_naive,3072,2832,3.895391350975976,0.9488975893459072
s1,daily_naive,3072,2832,3.895391350975976,1.5355310659183685
s2,seasonal_naive,3144,2904,8.342492200657896,0.9489272371601025
s2,daily_naive,3144,2904,8.342492200657896,1.573455923115097
s3,seasonal_naive,3216,2976,17.801444077279204,1.0451160674606468
s3,daily_naive,3216,2976,17.801444077279204,1.5247292096362226
s4,seasonal_naive,3288,3048,39.181409952083335,0.9076495983084378
s4,daily_naive,3288,3048,39.181409952083335,1.5644577036013658
s5,seasonal_naive,3360,3120,84.35323763109757,0.9330595748050353
s5,daily_naive,3360,3120,84.35323763109757,1.397728464878753
s6,seasonal_naive,3432,3192,180.2136219209656,1.0180374304222128
s6,daily_naive,3432,3192,180.2136219209656,1.5172700272434634
s7,seasonal_naive,3504,3264,393.23789475096896,0.8534992440772978
s7,daily_naive,3504,3264,393.23789475096896,1.421655855769876
s8,seasonal_naive,3576,3336,854.3435531190024,0.9808601580114088
s8,daily_naive,3576,3336,854.3435531190024,1.5258457739269136
s9,seasonal_naive,3648,3408,1827.2081110734566,0.9424388386995681
s9,daily_naive,3648,3408,1827.2081110734566,1.577285925786537
