series,model,origin,mae
s0,seasonal_naive,2760,1.0386433333333336
s0,seasonal_naive,2784,2.4106565416666665
s0,seasonal_naive,2808,1.38269475
s0,seasonal_naive,2832,1.7189952500000005
s0,seasonal_naive,2856,1.985097333333333
s0,seasonal_naive,2880,2.043546041666667
s0,seasonal_naive,2904,1.6253969166666664
s0,seasonal_naive,2928,1.5480778333333334
s0,seasonal_naive,2952,1.7853585833333332
s0,seasonal_naive,2976,2.0703248750000003
s0,daily_naive,2760,2.9623207916666665
s0,daily_naive,2784,2.838942708333333
s0,daily_naive,2808,2.001847833333334
s0,daily_naive,2832,2.490613125
s0,daily_naive,2856,4.202911875000001
s0,daily_naive,2880,2.2594779999999997
s0,daily_naive,2904,1.9456095833333336
s0,daily_naive,2928,3.3667730416666664
s0,daily_naive,2952,2.210485375
s0,daily_naive,2976,2.3361931249999994
s1,seasonal_naive,2832,4.183267
s1,seasonal_naive,2856,2.3004024583333327
s1,seasonal_naive,2880,4.182902625000001
s1,seasonal_naive,2904,3.2370243749999994
s1,seasonal_naive,2928,4.659798083333333
s1,seasonal_naive,2952,3.7795247083333336
s1,seasonal_naive,2976,2.8742037499999995
s1,seasonal_naive,3000,3.7783440833333337
s1,seasonal_naive,3024,3.5988057500000004
s1,seasonal_naive,3048,4.369001791666667
s1,daily_naive,2832,4.572358125
s1,daily_naive,2856,7.045766583333333
s1,daily_naive,2880,5.7990356666666685
s1,daily_naive,2904,3.8088629583333327
s1,daily_naive,2928,9.071451041666668
s1,daily_naive,2952,6.5848840000000015
s1,daily_naive,2976,4.646474541666666
s1,daily_naive,3000,4.8214616249999995
s1,daily_naive,3024,7.618529
s1,daily_naive,3048,5.846120791666668
s2,seasonal_naive,2904,7.847879500000002
s2,seasonal_naive,2928,6.304345458333334
s2,seasonal_naive,2952,8.921803041666667
s2,seasonal_naive,2976,8.199809375000001
s2,seasonal_naive,3000,7.119150083333333
s2,seasonal_naive,3024,7.176247583333331
s2,seasonal_naive,3048,7.447999541666668
s2,seasonal_naive,3072,6.695314125
s2,seasonal_naive,3096,7.318898041666668
s2,seasonal_naive,3120,12.132734
s2,daily_naive,2904,9.331339749999998
s2,daily_naive,2928,15.886578500000004
s2,daily_naive,2952,11.35842266666667
s2,daily_naive,2976,11.946015375000002
s2,daily_naive,3000,10.712372250000001
s2,daily_naive,3024,17.91127075
s2,daily_naive,3048,13.080022083333333
s2,daily_naive,3072,10.341922916666666
s2,daily_naive,3096,14.800214083333332
s2,daily_naive,3120,15.897279291666669
s3,seasonal_naive,2976,21.891180291666668
s3,seasonal_naive,3000,16.187957124999997
