series,model,origin,step,yhat
s0,seasonal_naive,2760,0,21.394945
s0,seasonal_naive,2760,1,22.775441
s0,seasonal_naive,2760,2,26.490544
s0,seasonal_naive,2760,3,27.499240
s0,seasonal_naive,2760,4,29.999817
s0,seasonal_naive,2760,5,29.725099
s0,seasonal_naive,2760,6,29.188459
s0,seasonal_naive,2760,7,25.106147
s0,seasonal_naive,2760,8,27.839808
s0,seasonal_naive,2760,9,25.059705
s0,seasonal_naive,2760,10,26.023285
s0,seasonal_naive,2760,11,22.337621
s0,seasonal_naive,2760,12,18.779811
s0,seasonal_naive,2760,13,16.910698
s0,seasonal_naive,2760,14,13.778700
s0,seasonal_naive,2760,15,13.019212
s0,seasonal_naive,2760,16,12.979927
s0,seasonal_naive,2760,17,13.415065
s0,seasonal_naive,2760,18,11.941686
s0,seasonal_naive,2760,19,12.532831
s0,seasonal_naive,2760,20,13.318545
s0,seasonal_naive,2760,21,12.504227
s0,seasonal_naive,2760,22,16.863669
s0,seasonal_naive,2760,23,14.167149
s0,seasonal_naive,2784,0,18.461877
s0,seasonal_naive,2784,1,19.360269
s0,seasonal_naive,2784,2,18.855287
s0,seasonal_naive,2784,3,26.183117
s0,seasonal_naive,2784,4,21.478617
s0,seasonal_naive,2784,5,26.455086
s0,seasonal_naive,2784,6,28.375121
s0,seasonal_naive,2784,7,24.793259
s0,seasonal_naive,2784,8,24.022918
s0,seasonal_naive,2784,9,19.790374
s0,seasonal_naive,2784,10,20.668101
s0,seasonal_naive,2784,11,21.360135
s0,seasonal_naive,2784,12,16.037283
s0,seasonal_naive,2784,13,13.152018
s0,seasonal_naive,2784,14,8.989845
s0,seasonal_naive,2784,15,13.013335
s0,seasonal_naive,2784,16,10.266557
s0,seasonal_naive,2784,17,8.252901
s0,seasonal_naive,2784,18,10.064579
s0,seasonal_naive,2784,19,7.757254
s0,seasonal_naive,2784,20,8.813872
s0,seasonal_naive,2784,21,13.966046
s0,seasonal_naive,2784,22,10.743684
s0,seasonal_naive,2784,23,14.530276
s0,seasonal_naive,2808,0,16.457926
s0,seasonal_naive,2808,1,18.296194
s0,seasonal_naive,2808,2,20.054715
s0,seasonal_naive,2808,3,19.591348
s0,seasonal_naive,2808,4,22.719387
s0,seasonal_naive,2808,5,23.342250
s0,seasonal_naive,2808,6,22.929721
s0,seasonal_naive,2808,7,22.396540
s0,seasonal_naive,2808,8,21.336632
s0,seasonal_naive,2808,9,20.386922
s0,seasonal_naive,2808,10,20.699230
s0,seasonal_naive,2808,11,18.198616
