series,t,y
s0,0,20.201168
s0,1,22.008749
s0,2,25.323597
s0,3,26.272552
s0,4,26.667301
s0,5,29.049605
s0,6,30.976484
s0,7,30.278012
s0,8,26.981248
s0,9,24.953296
s0,10,24.464125
s0,11,23.736242
s0,12,18.015486
s0,13,19.448455
s0,14,16.006542
s0,15,15.299646
s0,16,14.454263
s0,17,14.141794
s0,18,15.152568
s0,19,16.549764
s0,20,15.586832
s0,21,19.357914
s0,22,17.867896
s0,23,21.523751
s0,24,24.572878
s0,25,25.439363
s0,26,26.115356
s0,27,27.568990
s0,28,29.659944
s0,29,31.616180
s0,30,29.988486
s0,31,31.058975
s0,32,30.396938
s0,33,30.297741
s0,34,28.165746
s0,35,26.502852
s0,36,22.853586
s0,37,21.652332
s0,38,21.209684
s0,39,20.707484
s0,40,15.046107
s0,41,18.692074
s0,42,18.153401
s0,43,17.519894
s0,44,17.483741
s0,45,17.815718
s0,46,22.288156
s0,47,24.996127
s0,48,26.782327
s0,49,28.038422
s0,50,28.394100
s0,51,27.499078
s0,52,30.644572
s0,53,32.444016
s0,54,29.542497
s0,55,31.896063
s0,56,31.080087
s0,57,30.157419
s0,58,25.410366
s0,59,24.230219
s0,60,22.429030
s0,61,19.089651
s0,62,21.715196
s0,63,16.378116
s0,64,16.318839
s0,65,14.468027
s0,66,17.027516
s0,67,16.760452
s0,68,16.338441
s0,69,12.945658
s0,70,18.083246
s0,71,20.892420
s0,72,23.341873
s0,73,22.681469
s0,74,28.376582
s0,75,24.865281
s0,76,27.048779
s0,77,30.258763
s0,78,28.968571
s0,79,31.674881
s0,80,27.826003
s0,81,25.091602
s0,82,23.694819
s0,83,20.474283
s0,84,17.955712
s0,85,18.788541
s0,86,16.630945
s0,87,15.966582
s0,88,11.268258
s0,89,14.231519
s0,90,10.650096
s0,91,13.756370
s0,92,11.200319
s0,93,11.845256
s0,94,14.938292
s0,95,17.980204
s0,96,18.522080
s0,97,19.264632
s0,98,19.854048
s0,99,21.286294
s0,100,25.479216
s0,101,26.935667
s0,102,25.243169
s0,103,23.399273
s0,104,25.604380
s0,105,20.779797
s0,106,19.926884
s0,107,20.032294
s0,108,13.272448
s0,109,15.329248
s0,110,11.764420
s0,111,11.131096
s0,112,9.486573
s0,113,9.059515
s0,114,9.506800
s0,115,7.392953
s0,116,11.621873
s0,117,11.729362
s0,118,13.527681
s0,119,15.929527
s0,120,17.360430
s0,121,19.490812
s0,122,20.165626
s0,123,19.399167
s0,124,22.723316
s0,125,22.498980
s0,126,21.723613
s0,127,24.143728
s0,128,22.029709
s0,129,20.034318
s0,130,18.375875
s0,131,18.569754
s0,132,16.674163
s0,133,16.181676
s0,134,12.155445
s0,135,12.234556
s0,136,11.591925
s0,137,10.446609
s0,138,4.611638
s0,139,10.702026
s0,140,10.151087
s0,141,11.634283
s0,142,13.289009
s0,143,15.323468
s0,144,17.383737
s0,145,18.464404
s0,146,18.025176
s0,147,22.654164
s0,148,22.921541
s0,149,26.846518
s0,150,25.044014
s0,151,25.485686
s0,152,23.315553
s0,153,22.711730
s0,154,21.981547
s0,155,17.824878
s0,156,18.745561
s0,157,16.160164
s0,158,12.641484
s0,159,9.184857
s0,160,12.713659
s0,161,10.761183
s0,162,10.261903
s0,163,11.151100
s0,164,15.381989
s0,165,13.815606
s0,166,15.839670
s0,167,15.400566
s0,168,22.635743
s0,169,23.688098
s0,170,26.006016
s0,171,26.180989
s0,172,28.991020
s0,173,29.064568
s0,174,29.871186
s0,175,28.519174
s0,176,25.749003
s0,177,28.624137
s0,178,22.365429
s0,179,23.286222
s0,180,21.408299
s0,181,18.129946
s0,182,18.980997
s0,183,16.150747
s0,184,14.626088
s0,185,15.479621
s0,186,13.731433
s0,187,17.104111
s0,188,16.354816
s0,189,16.412640
s0,190,15.821384
s0,191,18.868929
s0,192,24.866255
s0,193,25.207977
s0,194,26.851955
s0,195,31.672954
s0,196,28.340066
s0,197,30.326816
s0,198,30.847735
s0,199,32.331795
s0,200,29.590042
s0,201,28.450919
s0,202,25.254052
s0,203,27.101215
s0,204,25.189535
s0,205,21.097511
s0,206,20.216667
s0,207,16.249761
s0,208,16.305711
s0,209,18.474518
s0,210,16.217169
s0,211,19.966378
s0,212,15.801104
s0,213,19.246450
s0,214,19.642514
s0,215,22.765022
s0,216,23.888173
s0,217,25.036339
s0,218,26.434104
s0,219,34.338046
s0,220,30.527946
s0,221,28.166999
s0,222,30.566114
s0,223,32.348732
s0,224,29.592291
s0,225,31.220465
s0,226,28.908792
s0,227,25.045202
s0,228,22.371780
s0,229,19.353653
s0,230,17.812261
s0,231,14.814544
s0,232,17.719522
s0,233,17.426864
s0,234,12.484138
s0,235,12.757181
s0,236,12.495458
s0,237,14.929107
s0,238,13.029861
s0,239,17.970876
s0,240,23.810600
s0,241,23.117044
s0,242,26.828699
s0,243,26.195620
s0,244,30.924292
s0,245,29.081432
s0,246,28.278880
s0,247,32.554931
s0,248,27.005217
s0,249,24.150755
s0,250,24.621976
s0,251,22.157981
s0,252,21.706119
s0,253,16.305269
s0,254,16.988627
s0,255,15.259685
s0,256,11.407328
s0,257,11.790137
s0,258,9.780713
s0,259,14.990610
s0,260,10.766153
s0,261,12.297110
s0,262,12.833295
s0,263,15.776086
s0,264,18.255063
s0,265,21.429940
s0,266,21.023221
s0,267,23.231488
s0,268,22.408540
s0,269,24.028282
s0,270,29.915333
s0,271,26.784246
s0,272,22.957234
s0,273,20.688592
s0,274,19.506860
s0,275,19.003960
s0,276,16.928239
s0,277,13.520080
s0,278,10.636526
s0,279,13.232055
s0,280,10.330392
s0,281,8.136823
s0,282,8.043067
s0,283,7.759096
s0,284,4.650629
s0,285,10.752671
s0,286,10.464838
s0,287,12.461449
s0,288,15.075869
s0,289,19.311969
s0,290,18.171827
s0,291,19.387155
s0,292,23.963151
s0,293,24.937194
s0,294,22.465706
s0,295,24.630040
s0,296,22.472776
s0,297,22.164073
s0,298,18.027140
s0,299,19.472918
s0,300,18.025503
s0,301,15.085062
s0,302,13.071053
s0,303,4.531972
s0,304,9.765309
s0,305,8.565632
s0,306,8.160852
s0,307,7.727207
s0,308,9.696279
s0,309,11.615637
s0,310,12.272984
s0,311,13.969738
s0,312,18.840280
s0,313,17.270078
s0,314,22.716041
s0,315,23.111327
s0,316,22.920623
s0,317,24.654286
s0,318,24.034051
s0,319,26.432229
s0,320,25.231566
s0,321,22.637852
s0,322,20.236451
s0,323,20.684224
s0,324,19.796282
s0,325,16.147741
s0,326,15.208000
s0,327,12.420386
s0,328,12.000887
s0,329,10.771265
s0,330,11.580384
s0,331,9.113311
s0,332,13.506333
s0,333,13.527396
s0,334,16.274853
s0,335,17.235387
s0,336,20.512578
s0,337,20.504017
s0,338,26.201567
s0,339,23.379041
s0,340,25.861590
s0,341,28.848119
s0,342,31.230631
s0,343,29.207685
s0,344,27.710570
s0,345,24.697826
s0,346,25.155321
s0,347,23.638317
s0,348,24.440445
s0,349,20.793923
s0,350,15.553451
s0,351,19.714121
s0,352,14.693061
s0,353,13.240739
s0,354,16.853675
s0,355,14.802134
s0,356,15.204644
s0,357,17.521630
s0,358,20.284030
s0,359,22.550672
s0,360,20.927002
s0,361,28.486514
s0,362,28.819934
s0,363,28.437029
s0,364,29.082449
s0,365,29.713448
s0,366,31.801281
s0,367,30.356830
s0,368,29.427900
s0,369,30.730395
s0,370,28.405599
s0,371,25.302942
s0,372,25.074508
s0,373,24.047519
s0,374,18.204129
s0,375,17.352728
s0,376,18.568807
s0,377,17.420101
s0,378,16.362718
s0,379,18.129670
s0,380,15.319473
s0,381,15.951374
s0,382,18.568912
s0,383,22.055784
s0,384,22.625973
s0,385,25.154707
s0,386,26.262291
s0,387,28.439701
s0,388,29.044039
s0,389,31.981602
s0,390,32.875701
s0,391,30.495155
s0,392,30.060680
s0,393,28.114099
s0,394,28.154957
s0,395,25.431433
s0,396,25.677977
s0,397,19.208579
s0,398,19.512211
s0,399,17.881959
s0,400,15.215783
s0,401,15.815398
s0,402,12.192323
s0,403,18.037959
s0,404,13.177806
s0,405,17.942966
s0,406,16.206204
s0,407,21.639935
s0,408,21.119897
s0,409,23.923597
s0,410,25.546714
s0,411,28.739145
s0,412,27.592748
s0,413,24.015189
s0,414,27.673990
s0,415,28.764993
s0,416,26.819623
s0,417,27.336426
s0,418,25.923444
s0,419,21.983682
s0,420,17.616567
s0,421,19.994547
s0,422,17.433965
s0,423,13.416582
s0,424,15.848889
s0,425,10.970746
s0,426,9.290525
s0,427,10.987920
s0,428,13.617310
s0,429,11.522104
s0,430,17.660596
s0,431,14.895438
s0,432,19.791541
s0,433,21.072618
s0,434,21.753509
s0,435,25.257579
s0,436,22.275245
s0,437,27.524241
s0,438,25.404146
s0,439,24.250361
s0,440,25.406191
s0,441,24.524266
s0,442,22.299465
s0,443,22.237872
s0,444,18.601836
s0,445,16.764667
s0,446,11.831263
s0,447,11.126687
s0,448,10.508467
s0,449,8.707744
s0,450,8.878741
s0,451,9.288112
s0,452,10.699092
s0,453,10.405038
s0,454,11.618030
s0,455,12.740439
s0,456,14.673517
s0,457,20.016208
s0,458,19.909442
s0,459,22.941116
s0,460,20.863606
s0,461,20.629135
s0,462,22.321454
s0,463,25.564807
s0,464,24.648312
s0,465,22.213267
s0,466,18.761204
s0,467,17.931002
s0,468,15.623872
s0,469,13.513787
s0,470,8.167997
s0,471,9.194930
s0,472,9.044128
s0,473,11.032629
s0,474,8.653313
s0,475,10.977553
s0,476,8.977764
s0,477,10.551947
s0,478,6.455970
s0,479,15.452385
s0,480,17.748027
s0,481,21.860680
s0,482,20.288975
s0,483,22.979074
s0,484,23.078668
s0,485,23.236246
s0,486,24.365068
s0,487,24.800128
s0,488,26.843624
s0,489,23.532265
s0,490,20.735128
s0,491,20.428482
s0,492,18.612579
s0,493,15.247908
s0,494,16.367810
s0,495,10.000671
s0,496,11.551105
s0,497,12.301423
s0,498,8.968424
s0,499,12.106953
s0,500,14.544257
s0,501,14.621162
s0,502,12.996824
s0,503,16.614771
s0,504,21.971685
s0,505,22.697454
s0,506,24.283146
s0,507,26.810633
s0,508,28.678051
s0,509,27.337509
s0,510,28.425444
s0,511,28.991345
s0,512,27.236892
s0,513,26.764448
s0,514,27.537959
s0,515,22.121609
s0,516,24.818195
s0,517,22.805473
s0,518,15.258497
s0,519,16.245638
s0,520,15.873384
s0,521,13.430480
s0,522,13.308230
s0,523,14.501878
s0,524,16.975173
s0,525,16.353439
s0,526,21.854918
s0,527,21.425293
s0,528,22.963205
s0,529,27.607759
s0,530,28.307005
s0,531,29.634610
s0,532,29.862480
s0,533,34.166245
s0,534,32.902790
s0,535,31.068197
s0,536,28.128180
s0,537,30.029110
s0,538,25.992307
s0,539,23.188742
s0,540,23.453069
s0,541,22.310067
s0,542,22.007293
s0,543,18.769918
s0,544,18.350243
s0,545,14.308384
s0,546,15.963949
s0,547,16.468534
s0,548,18.440206
s0,549,18.503692
s0,550,21.241850
s0,551,21.052995
s0,552,24.472439
s0,553,26.598042
s0,554,25.822650
s0,555,29.713249
s0,556,30.139118
s0,557,28.347115
s0,558,33.137326
s0,559,30.684894
s0,560,29.028481
s0,561,28.440044
s0,562,27.526076
s0,563,27.701599
s0,564,22.861833
s0,565,21.717187
s0,566,21.129934
s0,567,18.025254
s0,568,17.502190
s0,569,14.119327
s0,570,15.727638
s0,571,14.555113
s0,572,17.044135
s0,573,14.865579
s0,574,16.752708
s0,575,21.828493
s0,576,21.421801
s0,577,23.095783
s0,578,25.585480
s0,579,25.874775
s0,580,30.238330
s0,581,26.764023
s0,582,28.649127
s0,583,29.026177
s0,584,27.357257
s0,585,24.821052
s0,586,22.909498
s0,587,22.900748
s0,588,18.351231
s0,589,18.813871
s0,590,13.262442
s0,591,13.007315
s0,592,12.533717
s0,593,9.525504
s0,594,12.153134
s0,595,11.207655
